ts,qps,node1_cpu_pct,node2_cpu_pct,node3_cpu_pct
19:08:00,0.60,23.68,18.30,96.03
19:08:15,8.27,25.30,13.23,45.10
19:08:30,68.59,80.58,15.57,15.83
19:08:45,89.87,99.68,14.20,15.43
19:09:00,98.60,99.65,12.07,18.73
19:09:15,93.60,99.65,18.27,15.30
19:09:30,103.13,99.75,13.53,15.03
19:09:45,102.80,99.77,12.97,18.40
19:10:00,99.00,99.78,17.67,13.83
19:10:15,101.20,99.87,12.43,14.43
19:10:30,108.80,99.53,12.53,17.37
19:10:45,91.27,99.72,17.00,13.77
19:11:00,44.73,74.58,11.80,17.37
19:11:15,0.60,19.38,14.83,13.70
19:11:30,0.60,19.52,17.53,15.33
19:11:45,0.60,27.23,20.03,22.40
19:12:00,38.67,38.60,12.97,14.43
19:12:15,103.07,89.33,20.33,15.63
19:12:30,117.60,99.50,13.97,19.50
19:12:45,115.53,99.77,13.27,14.67
19:13:00,125.27,99.52,21.50,16.73
19:13:15,127.27,99.12,15.03,19.53
19:13:30,140.00,99.02,15.33,15.27
19:13:45,136.67,99.15,20.47,19.17
19:14:00,144.27,96.58,15.43,16.40
19:14:15,67.00,71.68,15.93,16.93
19:14:30,0.60,17.97,15.53,18.57
19:14:45,1.93,19.77,14.17,11.77
19:15:00,85.47,51.18,17.60,15.63
19:15:15,133.07,98.32,17.30,20.83
19:15:30,139.33,98.63,14.93,14.87
19:15:45,148.87,97.95,18.43,15.10
19:16:00,146.53,98.03,15.80,19.20
19:16:15,149.07,98.22,14.44,15.57
19:16:30,152.20,97.95,20.79,18.03
19:16:45,163.13,97.87,14.90,17.60
19:17:00,147.07,98.40,14.93,14.97
19:17:15,88.20,75.73,18.70,19.27
19:17:30,4.20,18.15,15.07,14.73
19:17:45,110.87,62.82,15.07,16.00
19:18:00,147.33,97.67,21.10,21.18
19:18:15,151.13,96.92,14.90,15.55
19:18:30,154.20,96.75,16.33,16.20
19:18:45,151.93,97.28,18.97,19.47
19:19:00,142.27,97.30,14.20,16.20
19:19:15,144.60,97.98,14.13,16.83
19:19:30,155.80,97.38,20.13,17.80
19:19:45,145.67,97.68,14.23,15.87
19:20:00,123.93,85.82,15.40,20.47
19:20:15,0.60,20.30,15.77,14.70
19:20:30,0.60,16.75,10.47,12.73
19:20:45,0.60,22.35,10.90,14.77
19:21:00,0.53,15.80,15.10,11.80
