ts,qps,node1_cpu_pct,node2_cpu_pct,node3_cpu_pct
19:38:00,0.60,33.63,,
19:38:15,0.60,21.42,,
19:38:30,0.60,21.98,,
19:38:45,0.60,23.15,,
19:39:00,0.60,20.47,,
19:39:15,0.60,22.33,,
19:39:30,0.60,26.68,,
19:39:45,0.60,55.02,,
19:40:00,33.44,99.77,,
19:40:15,49.87,99.87,,
19:40:30,65.40,99.87,,
19:40:45,68.60,99.80,,
19:41:00,71.60,99.83,,
19:41:15,70.60,99.83,,
19:41:30,78.13,99.80,,
19:41:45,78.40,99.85,,
19:42:00,60.73,98.62,,
19:42:15,40.40,77.98,,
19:42:30,78.73,99.48,,
19:42:45,82.73,99.53,,
19:43:00,83.93,99.60,,
19:43:15,86.87,99.70,,
19:43:30,86.13,99.62,,
19:43:45,87.40,99.72,,
19:44:00,92.93,99.72,,
19:44:15,83.07,99.77,,
19:44:30,92.53,99.33,,
19:44:45,60.47,67.63,,
19:45:00,89.67,99.48,,
19:45:15,93.18,99.67,,
19:45:30,97.75,99.57,,
19:45:45,100.07,99.55,,
19:46:00,98.80,99.48,,
19:46:15,100.86,99.55,,
19:46:30,89.81,99.78,,
19:46:45,100.67,99.20,,
19:47:00,113.00,99.17,,
19:47:15,24.53,45.30,,
19:47:30,0.60,22.15,,
